MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
64:16:66:BE:44:9C,ALL,tcp,3.83.229.35,60,21201,33,6570,27,14631
64:16:66:BE:44:9C,ALL,tcp,34.231.209.135,211,49736,113,22699,98,27037
64:16:66:BE:44:9C,ALL,tcp,34.237.131.21,109,35763,65,18976,44,16787
64:16:66:BE:44:9C,ALL,tcp,34.239.79.85,156,44116,86,20842,70,23274
64:16:66:BE:44:9C,ALL,tcp,35.168.175.128,60,15735,34,5125,26,10610
64:16:66:BE:44:9C,ALL,tcp,35.169.204.9,69,23729,38,8103,31,15626
64:16:66:BE:44:9C,ALL,tcp,35.171.116.112,44,13842,27,3288,17,10554
64:16:66:BE:44:9C,ALL,tcp,35.171.141.52,38,13703,23,3214,15,10489
64:16:66:BE:44:9C,ALL,tcp,35.171.224.183,79,27351,44,11325,35,16026
64:16:66:BE:44:9C,ALL,tcp,35.190.54.210,20315,9276905,10776,6520164,9539,2756741
64:16:66:BE:44:9C,ALL,tcp,52.205.228.132,1221,438400,645,109268,576,329132
64:16:66:BE:44:9C,ALL,tcp,52.206.238.53,62,21987,35,4976,27,17011
64:16:66:BE:44:9C,ALL,tcp,52.22.184.96,8,3957,4,789,4,3168
64:16:66:BE:44:9C,ALL,tcp,52.22.4.251,18,7150,9,1668,9,5482
64:16:66:BE:44:9C,ALL,tcp,52.54.204.6,10,2905,6,897,4,2008
64:16:66:BE:44:9C,ALL,tcp,52.54.95.86,22,6714,10,1311,12,5403
64:16:66:BE:44:9C,ALL,tcp,52.55.159.10,24,10747,13,1717,11,9030
64:16:66:BE:44:9C,ALL,tcp,52.55.205.241,84,26598,45,9750,39,16848
64:16:66:BE:44:9C,ALL,tcp,52.6.94.39,98,23729,53,7905,45,15824
64:16:66:BE:44:9C,ALL,tcp,52.70.53.18,191,58450,109,17571,82,40879
64:16:66:BE:44:9C,ALL,tcp,52.72.161.88,7,4167,4,789,3,3378
64:16:66:BE:44:9C,ALL,tcp,52.73.226.79,31,8168,19,2406,12,5762
64:16:66:BE:44:9C,ALL,tcp,52.87.106.218,9,2839,4,789,5,2050
64:16:66:BE:44:9C,ALL,tcp,52.91.103.86,69,23924,35,8033,34,15891
64:16:66:BE:44:9C,ALL,tcp,54.146.20.238,60,22168,37,4076,23,18092
64:16:66:BE:44:9C,ALL,tcp,54.152.190.163,24,10718,14,1783,10,8935
64:16:66:BE:44:9C,ALL,tcp,54.156.213.123,121,37480,67,11354,54,26126
64:16:66:BE:44:9C,ALL,tcp,54.156.64.150,909,325157,483,82524,426,242633
64:16:66:BE:44:9C,ALL,tcp,54.164.236.255,3,202,2,128,1,74
64:16:66:BE:44:9C,ALL,tcp,54.164.247.81,1063,378686,557,94628,506,284058
64:16:66:BE:44:9C,ALL,tcp,54.166.199.222,52,20664,28,6257,24,14407
64:16:66:BE:44:9C,ALL,tcp,54.173.243.106,129,40796,69,14391,60,26405
64:16:66:BE:44:9C,ALL,tcp,54.205.92.207,46,17827,27,3643,19,14184
64:16:66:BE:44:9C,ALL,tcp,54.208.172.57,444,131080,250,41698,194,89382
64:16:66:BE:44:9C,ALL,tcp,54.88.60.177,20,6606,10,1311,10,5295
64:16:66:BE:44:9C,ALL,udp,216.239.35.0,70,6300,35,3150,35,3150
64:16:66:BE:44:9C,ALL,tls,107.21.146.204,47,30529,28,12170,19,18359
64:16:66:BE:44:9C,ALL,tls,107.23.175.250,14,10260,8,2760,6,7500
64:16:66:BE:44:9C,ALL,tls,18.204.152.154,44,34073,26,13129,18,20944
64:16:66:BE:44:9C,ALL,tls,18.204.60.159,4,4382,2,775,2,3607
64:16:66:BE:44:9C,ALL,tls,18.204.62.133,12,9563,7,2692,5,6871
64:16:66:BE:44:9C,ALL,tls,18.205.174.64,16,12373,10,4671,6,7702
64:16:66:BE:44:9C,ALL,tls,18.205.224.178,24,18526,14,6645,10,11881
64:16:66:BE:44:9C,ALL,tls,18.208.2.216,6,4928,3,1204,3,3724
64:16:66:BE:44:9C,ALL,tls,18.209.26.40,8,5122,4,1301,4,3821
64:16:66:BE:44:9C,ALL,tls,18.209.53.160,4,4382,2,775,2,3607
64:16:66:BE:44:9C,ALL,tls,18.209.86.148,25,18627,14,6647,11,11980
64:16:66:BE:44:9C,ALL,tls,18.210.159.117,8,5122,4,1301,4,3821
64:16:66:BE:44:9C,ALL,tls,18.210.177.236,6,4908,4,1301,2,3607
64:16:66:BE:44:9C,ALL,tls,18.210.177.46,4,4382,2,775,2,3607
64:16:66:BE:44:9C,ALL,tls,18.210.25.50,32,22087,20,9768,12,12319
64:16:66:BE:44:9C,ALL,tls,18.210.94.215,23,17777,13,6453,10,11324
64:16:66:BE:44:9C,ALL,tls,3.83.229.35,19,16095,10,5064,9,11031
64:16:66:BE:44:9C,ALL,tls,34.231.209.135,55,34324,34,17469,21,16855
64:16:66:BE:44:9C,ALL,tls,34.237.131.21,39,28779,24,16342,15,12437
64:16:66:BE:44:9C,ALL,tls,34.239.79.85,56,35032,37,17548,19,17484
64:16:66:BE:44:9C,ALL,tls,35.168.175.128,17,11681,10,3533,7,8148
64:16:66:BE:44:9C,ALL,tls,35.169.204.9,25,18401,14,6519,11,11882
64:16:66:BE:44:9C,ALL,tls,35.171.116.112,11,9312,5,1884,6,7428
64:16:66:BE:44:9C,ALL,tls,35.171.141.52,13,9621,6,2076,7,7545
64:16:66:BE:44:9C,ALL,tls,35.171.224.183,26,19937,15,7935,11,12002
64:16:66:BE:44:9C,ALL,tls,35.190.54.210,5201,4148632,3090,1904724,2111,2243908
64:16:66:BE:44:9C,ALL,tls,52.205.228.132,360,379608,171,77472,189,302136
64:16:66:BE:44:9C,ALL,tls,52.206.238.53,18,16707,10,3302,8,13405
