MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
EC:B5:FA:99:AC:15,ALL,ip,120.25.115.20,167,15030,105,9450,62,5580
EC:B5:FA:99:AC:15,ALL,ip,173.194.194.206,4018,238014,2034,125054,1984,112960
EC:B5:FA:99:AC:15,ALL,ip,203.107.6.88,143,12870,73,6570,70,6300
EC:B5:FA:99:AC:15,ALL,ip,216.239.35.0,142,12780,71,6390,71,6390
EC:B5:FA:99:AC:15,ALL,ip,216.239.35.12,140,12600,70,6300,70,6300
EC:B5:FA:99:AC:15,ALL,ip,216.239.35.4,142,12780,71,6390,71,6390
EC:B5:FA:99:AC:15,ALL,ip,216.239.35.8,140,12600,70,6300,70,6300
EC:B5:FA:99:AC:15,ALL,ip,3.251.22.95,118,46284,68,32487,50,13797
EC:B5:FA:99:AC:15,ALL,ip,34.117.13.189,20092,1277628,10052,670727,10040,606901
EC:B5:FA:99:AC:15,ALL,ip,46.51.188.91,1487,346558,815,178946,672,167612
EC:B5:FA:99:AC:15,ALL,ip,52.211.152.148,74,28033,43,18961,31,9072
EC:B5:FA:99:AC:15,ALL,ip,52.48.41.28,1393,304444,764,149431,629,155013
EC:B5:FA:99:AC:15,ALL,ip,54.216.117.174,34,10023,20,5568,14,4455
EC:B5:FA:99:AC:15,ALL,ip,74.125.201.206,12139,728041,6143,380606,5996,347435
EC:B5:FA:99:AC:15,ALL,ip,99.80.116.23,1428,319886,789,154568,639,165318
EC:B5:FA:99:AC:15,ALL,tcp,173.194.194.206,4018,238014,2034,125054,1984,112960
EC:B5:FA:99:AC:15,ALL,tcp,3.251.22.95,118,46284,68,32487,50,13797
EC:B5:FA:99:AC:15,ALL,tcp,34.117.13.189,20092,1277628,10052,670727,10040,606901
EC:B5:FA:99:AC:15,ALL,tcp,46.51.188.91,1487,346558,815,178946,672,167612
EC:B5:FA:99:AC:15,ALL,tcp,52.211.152.148,74,28033,43,18961,31,9072
EC:B5:FA:99:AC:15,ALL,tcp,52.48.41.28,1393,304444,764,149431,629,155013
EC:B5:FA:99:AC:15,ALL,tcp,54.216.117.174,34,10023,20,5568,14,4455
EC:B5:FA:99:AC:15,ALL,tcp,74.125.201.206,12139,728041,6143,380606,5996,347435
EC:B5:FA:99:AC:15,ALL,tcp,99.80.116.23,1428,319886,789,154568,639,165318
EC:B5:FA:99:AC:15,ALL,udp,120.25.115.20,167,15030,105,9450,62,5580
EC:B5:FA:99:AC:15,ALL,udp,203.107.6.88,143,12870,73,6570,70,6300
EC:B5:FA:99:AC:15,ALL,udp,216.239.35.0,142,12780,71,6390,71,6390
EC:B5:FA:99:AC:15,ALL,udp,216.239.35.12,140,12600,70,6300,70,6300
EC:B5:FA:99:AC:15,ALL,udp,216.239.35.4,142,12780,71,6390,71,6390
EC:B5:FA:99:AC:15,ALL,udp,216.239.35.8,140,12600,70,6300,70,6300
EC:B5:FA:99:AC:15,ALL,tls,173.194.194.206,112,15210,57,6428,55,8782
EC:B5:FA:99:AC:15,ALL,tls,3.251.22.95,41,24294,15,11829,26,12465
EC:B5:FA:99:AC:15,ALL,tls,34.117.13.189,4075,354953,2089,183577,1986,171376
EC:B5:FA:99:AC:15,ALL,tls,46.51.188.91,640,279628,302,130484,338,149144
EC:B5:FA:99:AC:15,ALL,tls,52.211.152.148,27,16537,10,8245,17,8292
EC:B5:FA:99:AC:15,ALL,tls,52.48.41.28,612,255954,295,118185,317,137769
EC:B5:FA:99:AC:15,ALL,tls,54.216.117.174,13,8781,5,4662,8,4119
EC:B5:FA:99:AC:15,ALL,tls,74.125.201.206,355,55855,180,22802,175,33053
EC:B5:FA:99:AC:15,ALL,tls,99.80.116.23,610,261846,283,113808,327,148038
EC:B5:FA:99:AC:15,ALL,http,34.117.13.189,6,5385,3,4698,3,687
EC:B5:FA:99:AC:15,ALL,ntp,120.25.115.20,167,15030,105,9450,62,5580
EC:B5:FA:99:AC:15,ALL,ntp,203.107.6.88,143,12870,73,6570,70,6300
EC:B5:FA:99:AC:15,ALL,ntp,216.239.35.0,142,12780,71,6390,71,6390
EC:B5:FA:99:AC:15,ALL,ntp,216.239.35.12,140,12600,70,6300,70,6300
EC:B5:FA:99:AC:15,ALL,ntp,216.239.35.4,142,12780,71,6390,71,6390
EC:B5:FA:99:AC:15,ALL,ntp,216.239.35.8,140,12600,70,6300,70,6300
EC:B5:FA:99:AC:15,ALL,https,173.194.194.206,4018,238014,2034,125054,1984,112960
EC:B5:FA:99:AC:15,ALL,https,3.251.22.95,118,46284,68,32487,50,13797
EC:B5:FA:99:AC:15,ALL,https,34.117.13.189,20051,1265369,10029,660001,10022,605368
EC:B5:FA:99:AC:15,ALL,https,46.51.188.91,1487,346558,815,178946,672,167612
EC:B5:FA:99:AC:15,ALL,https,52.211.152.148,74,28033,43,18961,31,9072
EC:B5:FA:99:AC:15,ALL,https,52.48.41.28,1393,304444,764,149431,629,155013
EC:B5:FA:99:AC:15,ALL,https,54.216.117.174,34,10023,20,5568,14,4455
EC:B5:FA:99:AC:15,ALL,https,74.125.201.206,12139,728041,6143,380606,5996,347435
EC:B5:FA:99:AC:15,ALL,https,99.80.116.23,1428,319886,789,154568,639,165318
