Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
EchoDot5 (US1-1),0,6,468,6,468,0,0
EchoDot5 (US1-1),3600,183,34087,94,8853,89,25234
EchoDot5 (US1-1),7200,6,468,6,468,0,0
EchoDot5 (US1-1),10800,183,34087,94,8853,89,25234
EchoDot5 (US1-1),14400,6,468,6,468,0,0
EchoDot5 (US1-1),18000,183,34087,94,8853,89,25234
EchoDot5 (US1-1),21600,6,468,6,468,0,0
EchoDot5 (US1-1),25200,165,30817,79,7521,86,23296
EchoDot5 (US1-1),28800,24,3738,21,1800,3,1938
EchoDot5 (US1-1),32400,16,1358,16,1358,0,0
EchoDot5 (US1-1),36000,173,33197,84,7963,89,25234
EchoDot5 (US1-1),39600,16,1358,16,1358,0,0
EchoDot5 (US1-1),43200,173,33197,84,7963,89,25234
EchoDot5 (US1-1),46800,16,1358,16,1358,0,0
EchoDot5 (US1-1),50400,173,33197,84,7963,89,25234
EchoDot5 (US1-1),54000,16,1358,16,1358,0,0
EchoDot5 (US1-1),57600,173,33197,84,7963,89,25234
EchoDot5 (US1-1),61200,34,4628,31,2690,3,1938
EchoDot5 (US1-1),64800,155,29927,69,6631,86,23296
EchoDot5 (US1-1),68400,34,4628,31,2690,3,1938
EchoDot5 (US1-1),72000,155,29927,69,6631,86,23296
EchoDot5 (US1-1),75600,34,4628,31,2690,3,1938
EchoDot5 (US1-1),79200,155,29927,69,6631,86,23296
EchoDot5 (US1-1),82800,34,4628,31,2690,3,1938
EchoDot5 (US1-1),86400,155,29927,69,6631,86,23296
EchoDot5 (US1-1),90000,34,4628,31,2690,3,1938
EchoDot5 (US1-1),93600,155,29927,69,6631,86,23296
EchoDot5 (US1-1),97200,34,4628,31,2690,3,1938
EchoDot5 (US1-1),100800,155,29927,69,6631,86,23296
EchoDot5 (US1-1),104400,34,4628,31,2690,3,1938
EchoDot5 (US1-1),108000,155,29927,69,6631,86,23296
EchoDot5 (US1-1),111600,34,4628,31,2690,3,1938
EchoDot5 (US1-1),115200,154,29849,68,6553,86,23296
EchoDot5 (US1-1),118800,34,4628,31,2690,3,1938
EchoDot5 (US1-1),122400,155,29927,69,6631,86,23296
EchoDot5 (US1-1),126000,34,4628,31,2690,3,1938
EchoDot5 (US1-1),129600,155,29927,69,6631,86,23296
EchoDot5 (US1-1),133200,16,1358,16,1358,0,0
EchoDot5 (US1-1),136800,173,33197,84,7963,89,25234
EchoDot5 (US1-1),140400,34,4628,31,2690,3,1938
EchoDot5 (US1-1),144000,6,468,6,468,0,0
EchoDot5 (US1-1),147600,183,34087,94,8853,89,25234
EchoDot5 (US1-1),151200,6,468,6,468,0,0
EchoDot5 (US1-1),154800,183,34087,94,8853,89,25234
EchoDot5 (US1-1),158400,6,468,6,468,0,0
EchoDot5 (US1-1),162000,183,34087,94,8853,89,25234
EchoDot5 (US1-1),165600,6,468,6,468,0,0
EchoDot5 (US1-1),169200,165,30817,79,7521,86,23296
EchoDot5 (US1-1),172800,24,3738,21,1800,3,1938
EchoDot5 (US1-1),176400,258,57997,133,20595,125,37402
EchoDot5 (US1-1),180000,2,156,2,156,0,0
EchoDot5 (US1-1),183600,2,156,2,156,0,0
EchoDot5 (US1-1),187200,2,156,2,156,0,0
EchoDot5 (US1-1),190800,2,156,2,156,0,0
EchoDot5 (US1-1),194400,2,156,2,156,0,0
EchoDot5 (US1-1),198000,182,34022,93,8788,89,25234
EchoDot5 (US1-1),201600,6,468,6,468,0,0
EchoDot5 (US1-1),205200,183,34086,94,8852,89,25234
EchoDot5 (US1-1),208800,6,468,6,468,0,0
EchoDot5 (US1-1),212400,179,33774,90,8540,89,25234
EchoDot5 (US1-1),216000,2,156,2,156,0,0
EchoDot5 (US1-1),219600,2,156,2,156,0,0
EchoDot5 (US1-1),223200,2,156,2,156,0,0
EchoDot5 (US1-1),226800,2,156,2,156,0,0
EchoDot5 (US1-1),230400,180,33284,92,8696,88,24588
EchoDot5 (US1-1),234000,6,468,6,468,0,0
EchoDot5 (US1-1),237600,173,33196,84,7962,89,25234
EchoDot5 (US1-1),241200,16,1358,16,1358,0,0
EchoDot5 (US1-1),244800,152,29692,66,6396,86,23296
EchoDot5 (US1-1),248400,20,3426,17,1488,3,1938
EchoDot5 (US1-1),252000,12,1046,12,1046,0,0
EchoDot5 (US1-1),255600,2,156,2,156,0,0
EchoDot5 (US1-1),259200,2,156,2,156,0,0
EchoDot5 (US1-1),262800,3,234,3,234,0,0
EchoDot5 (US1-1),266400,183,34086,94,8852,89,25234
EchoDot5 (US1-1),270000,6,468,6,468,0,0
EchoDot5 (US1-1),273600,183,34086,94,8852,89,25234
EchoDot5 (US1-1),277200,4,312,4,312,0,0
EchoDot5 (US1-1),280800,2,156,2,156,0,0
EchoDot5 (US1-1),284400,151,29614,65,6318,86,23296
EchoDot5 (US1-1),288000,2,156,2,156,0,0
EchoDot5 (US1-1),291600,29,4238,26,2300,3,1938
EchoDot5 (US1-1),295200,2,156,2,156,0,0
EchoDot5 (US1-1),298800,155,29926,69,6630,86,23296
EchoDot5 (US1-1),302400,34,4628,31,2690,3,1938
EchoDot5 (US1-1),306000,155,29926,69,6630,86,23296
EchoDot5 (US1-1),309600,33,4550,30,2612,3,1938
EchoDot5 (US1-1),313200,2,156,2,156,0,0
EchoDot5 (US1-1),316800,2,156,2,156,0,0
EchoDot5 (US1-1),320400,151,29614,65,6318,86,23296
EchoDot5 (US1-1),324000,2,156,2,156,0,0
EchoDot5 (US1-1),327600,40,7130,37,5192,3,1938
EchoDot5 (US1-1),331200,2,156,2,156,0,0
EchoDot5 (US1-1),334800,2,156,2,156,0,0
EchoDot5 (US1-1),338400,151,29614,65,6318,86,23296
EchoDot5 (US1-1),342000,2,156,2,156,0,0
EchoDot5 (US1-1),345600,2,156,2,156,0,0
EchoDot5 (US1-1),349200,32,4472,29,2534,3,1938
EchoDot5 (US1-1),352800,155,29926,69,6630,86,23296
EchoDot5 (US1-1),356400,34,4628,31,2690,3,1938
EchoDot5 (US1-1),360000,155,29926,69,6630,86,23296
EchoDot5 (US1-1),363600,32,4472,29,2534,3,1938
EchoDot5 (US1-1),367200,2,156,2,156,0,0
EchoDot5 (US1-1),370800,151,29614,65,6318,86,23296
EchoDot5 (US1-1),374400,2,156,2,156,0,0
EchoDot5 (US1-1),378000,2,156,2,156,0,0
EchoDot5 (US1-1),381600,13,1124,13,1124,0,0
EchoDot5 (US1-1),385200,173,33196,84,7962,89,25234
EchoDot5 (US1-1),388800,34,4628,31,2690,3,1938
EchoDot5 (US1-1),392400,155,29926,69,6630,86,23296
EchoDot5 (US1-1),396000,3,234,3,234,0,0
EchoDot5 (US1-1),399600,2,156,2,156,0,0
EchoDot5 (US1-1),403200,30,4316,27,2378,3,1938
EchoDot5 (US1-1),406800,2,156,2,156,0,0
EchoDot5 (US1-1),410400,151,29614,65,6318,86,23296
EchoDot5 (US1-1),414000,12,2970,12,2970,0,0
EchoDot5 (US1-1),417600,2,156,2,156,0,0
EchoDot5 (US1-1),421200,12,1046,12,1046,0,0
EchoDot5 (US1-1),424800,20,3426,17,1488,3,1938
EchoDot5 (US1-1),428400,2,156,2,156,0,0
EchoDot5 (US1-1),432000,151,29614,65,6318,86,23296
EchoDot5 (US1-1),435600,4,312,4,312,0,0
EchoDot5 (US1-1),439200,34,4628,31,2690,3,1938
EchoDot5 (US1-1),442800,155,29926,69,6630,86,23296
EchoDot5 (US1-1),446400,34,4628,31,2690,3,1938
EchoDot5 (US1-1),450000,153,29770,67,6474,86,23296
EchoDot5 (US1-1),453600,2,156,2,156,0,0
EchoDot5 (US1-1),457200,30,4316,27,2378,3,1938
EchoDot5 (US1-1),460800,1,78,1,78,0,0
EchoDot5 (US1-1),464400,3,234,3,234,0,0
EchoDot5 (US1-1),468000,151,29614,65,6318,86,23296
EchoDot5 (US1-1),471600,34,4628,31,2690,3,1938
EchoDot5 (US1-1),475200,155,29926,69,6630,86,23296
EchoDot5 (US1-1),478800,16,1358,16,1358,0,0
EchoDot5 (US1-1),482400,22,3582,19,1644,3,1938
EchoDot5 (US1-1),486000,151,29614,65,6318,86,23296
EchoDot5 (US1-1),489600,2,156,2,156,0,0
EchoDot5 (US1-1),493200,2,156,2,156,0,0
EchoDot5 (US1-1),496800,13,1124,13,1124,0,0
EchoDot5 (US1-1),500400,20,3426,17,1488,3,1938
EchoDot5 (US1-1),504000,155,29926,69,6630,86,23296
EchoDot5 (US1-1),507600,34,4628,31,2690,3,1938
EchoDot5 (US1-1),511200,155,29926,69,6630,86,23296
EchoDot5 (US1-1),514800,32,4472,29,2534,3,1938
EchoDot5 (US1-1),518400,2,156,2,156,0,0
EchoDot5 (US1-1),522000,2,156,2,156,0,0
EchoDot5 (US1-1),525600,151,29614,65,6318,86,23296
EchoDot5 (US1-1),529200,2,156,2,156,0,0
EchoDot5 (US1-1),532800,24,3842,21,1904,3,1938
EchoDot5 (US1-1),536400,12,942,12,942,0,0
EchoDot5 (US1-1),540000,165,30816,79,7520,86,23296
EchoDot5 (US1-1),543600,24,3738,21,1800,3,1938
EchoDot5 (US1-1),547200,153,29770,67,6474,86,23296
EchoDot5 (US1-1),550800,30,4316,27,2378,3,1938
EchoDot5 (US1-1),554400,2,156,2,156,0,0
EchoDot5 (US1-1),558000,2,156,2,156,0,0
EchoDot5 (US1-1),561600,2,156,2,156,0,0
EchoDot5 (US1-1),565200,152,29692,66,6396,86,23296
EchoDot5 (US1-1),568800,34,4628,31,2690,3,1938
EchoDot5 (US1-1),572400,155,29926,69,6630,86,23296
EchoDot5 (US1-1),576000,34,4628,31,2690,3,1938
EchoDot5 (US1-1),579600,88,19524,35,3620,53,15904
EchoDot5 (US1-1),583200,67,10402,34,3010,33,7392
EchoDot5 (US1-1),586800,12,1046,12,1046,0,0
EchoDot5 (US1-1),590400,2,156,2,156,0,0
EchoDot5 (US1-1),594000,20,3426,17,1488,3,1938
EchoDot5 (US1-1),597600,3,234,3,234,0,0
EchoDot5 (US1-1),601200,165,30816,79,7520,86,23296
EchoDot5 (US1-2),0,3,234,3,234,0,0
EchoDot5 (US1-2),3600,2,156,2,156,0,0
