IP, Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
2a03:2880:f003:c07:face:b00c:0:2,edge-star*.facebook.com,None,None,131,43211,48,30589,83,12622
2a03:2880:f012:100:face:b00c:0:2,edge-star*.facebook.com,None,None,21,7142,8,5100,13,2042
2620:6:2000:104::48,excalibur.prolixium.com,None,None,2,220,1,110,1,110
1.14.243.105,gslb.hpplay.cn,China,None,93,10773,40,5687,53,5086
1.14.243.65,gslb.hpplay.cn,China,None,81,9417,35,4975,46,4442
114.80.179.242,imdns.hpplay.cn,China,None,30,4765,12,2887,18,1878
101.226.28.239,imdns.hpplay.cn,China,None,24,3408,10,2036,14,1372
61.170.80.210,imdns.hpplay.cn,China,None,22,3288,9,1982,13,1306
61.170.79.234,imdns.hpplay.cn,China,None,20,3193,8,1941,12,1252
61.170.77.224,imdns.hpplay.cn,China,None,12,1704,5,1024,7,680
61.170.81.237,imdns.hpplay.cn,China,None,12,1699,5,1019,7,680
101.226.28.234,imdns.hpplay.cn,China,None,12,1700,5,1020,7,680
180.163.207.102,imdns.hpplay.cn,China,None,12,1707,5,1027,7,680
61.170.77.225,imdns.hpplay.cn,China,None,12,1704,5,1024,7,680
101.226.28.240,imdns.hpplay.cn,China,None,11,1664,4,964,7,700
101.226.28.236,imdns.hpplay.cn,China,None,10,1591,4,965,6,626
61.170.79.233,imdns.hpplay.cn,China,None,10,1591,4,965,6,626
180.163.207.105,imdns.hpplay.cn,China,None,10,1598,4,972,6,626
101.226.28.235,imdns.hpplay.cn,China,None,10,1591,4,965,6,626
114.80.179.245,imdns.hpplay.cn,China,None,10,1589,4,963,6,626
61.170.77.229,imdns.hpplay.cn,China,None,10,1597,4,971,6,626
114.80.179.249,imdns.hpplay.cn,China,None,10,1588,4,962,6,626
61.170.79.236,imdns.hpplay.cn,China,None,10,1597,4,971,6,626
61.170.79.231,imdns.hpplay.cn,China,None,10,1596,4,970,6,626
61.170.81.235,imdns.hpplay.cn,China,None,10,1590,4,964,6,626
114.80.179.246,imdns.hpplay.cn,China,None,3,162,1,54,2,108
101.226.28.241,imdns.hpplay.cn,None,None,1,74,0,0,1,74
224.0.0.251,mdns.mcast.net,None,None,150348,195753096,0,0,150348,195753096
239.255.255.250,None,None,None,2418227,937062940,0,0,2418227,937062940
192.168.1.255,None,None,None,150348,195753096,0,0,150348,195753096
43.138.145.210,None,China,None,1060,89406,357,32214,703,57192
42.194.224.152,None,China,None,759,63928,257,23196,502,40732
114.132.167.252,None,China,None,758,63862,256,23130,502,40732
1.12.244.239,None,China,None,758,63862,256,23130,502,40732
159.75.162.153,None,China,None,757,63796,255,23064,502,40732
159.75.151.232,None,China,None,756,63730,254,22998,502,40732
119.29.217.205,None,China,None,755,63664,253,22932,502,40732
42.193.244.238,None,China,None,755,63664,253,22932,502,40732
159.75.162.175,None,China,None,754,63598,252,22866,502,40732
1.14.240.120,None,China,None,534,45063,179,16223,355,28840
123.207.63.97,None,China,None,524,44238,175,15884,349,28354
42.193.239.33,None,China,None,515,43479,173,15677,342,27802
119.29.218.136,None,China,None,512,43171,172,15561,340,27610
159.75.156.212,None,China,None,504,42532,167,15156,337,27376
42.194.238.51,None,China,None,442,37202,148,13418,294,23784
42.194.229.237,None,China,None,271,22865,91,8215,180,14650
1.12.251.126,None,China,None,253,21347,86,7735,167,13612
42.193.243.76,None,China,None,229,19323,77,6941,152,12382
43.138.152.163,None,China,None,211,17805,71,6395,140,11410
1.12.63.98,None,China,None,134,11348,45,4054,89,7294
119.91.249.55,None,China,None,131,11040,45,4004,86,7036
159.75.187.238,None,China,None,112,9432,38,3392,74,6040
42.194.238.150,None,China,None,101,8565,34,3053,67,5512
159.75.184.30,None,China,None,26,2240,9,778,17,1462
192.168.1.1,None,None,None,15,1469,2,494,13,975
2620:0:5301:2210::1,None,None,None,1118,213620,542,159621,576,53999
2620:0:5301:2210:d080:3066:5dde:4719,None,None,None,258,44859,148,18482,110,26377
2620:0:5301:2210:6cb5:bdb0:c65e:35,None,None,None,210,48345,110,14719,100,33626
2620:0:5301:2210:69e1:e8d2:3c:bfa0,None,None,None,203,47267,105,14231,98,33036
2620:0:5301:2210:89cc:3741:ab0a:2b6d,None,None,None,198,46834,104,14117,94,32717
2620:0:5301:2210:f479:acce:149a:81cd,None,None,None,181,41712,94,13212,87,28500
2620:0:5301:2210:fc21:15f6:9002:38ea,None,None,None,176,39934,92,13030,84,26904
2620:0:5301:2210:1924:3c34:ea6a:f56c,None,None,None,102,17005,52,8402,50,8603
240e:97c:2f:2::4a,None,None,None,90,28464,40,5790,50,22674
2620:0:5301:2210:2d99:29f5:cf54:f80a,None,None,None,80,19148,43,4834,37,14314
240e:97c:2f:1::9f,None,None,None,36,11347,16,2317,20,9030
2603:c020:0:8369:fec0:b7f:603:2601,None,None,None,2,220,1,110,1,110
2607:f1c0:1801:16e::1,None,None,None,2,220,1,110,1,110
2603:c020:0:8369:feed:feed:feed:feed,None,None,None,2,220,1,110,1,110
2607:f7c0:1:af00:d045:7800:0:f1,ntp.nexcess.net,None,None,2,220,1,110,1,110
47.113.57.36,rp.hpplay.cn,China,None,502,56824,250,20856,252,35968
47.113.57.59,rp.hpplay.cn,China,None,470,53174,235,19580,235,33594
47.107.217.159,rp.hpplay.cn,China,None,451,51209,225,18790,226,32419
47.113.66.37,rp.hpplay.cn,China,None,400,45436,200,16696,200,28740
1.14.243.123,sdkauth.hpplay.cn,China,None,65,14347,25,7174,40,7173
1.14.243.73,sdkauth.hpplay.cn,China,None,55,12554,22,6594,33,5960
1.14.243.233,sdkauth.hpplay.cn,China,None,45,10771,18,5959,27,4812
2604:d200::39,white.web-ster.com,None,None,2,220,1,110,1,110
