Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
NestMini (FR-1),0,19440,2315313,10396,1287784,9044,1027529
NestMini (FR-1),3600,17809,2287212,9444,1114572,8365,1172640
NestMini (FR-1),7200,14850,2161527,8168,1109135,6682,1052392
NestMini (FR-1),10800,18649,3287411,9943,1317045,8706,1970366
NestMini (FR-1),14400,14536,2442183,7884,1065804,6652,1376379
NestMini (FR-1),18000,16780,2724042,8947,1151923,7833,1572119
NestMini (FR-1),21600,16611,2887263,8909,1071042,7702,1816221
NestMini (FR-1),25200,13173,2020950,6943,908453,6230,1112497
NestMini (FR-1),28800,21894,2595699,11634,1381367,10260,1214332
NestMini (FR-1),32400,19966,2296599,10887,1274710,9079,1021889
NestMini (FR-1),36000,20279,2257846,10997,1256446,9282,1001400
NestMini (FR-1),39600,20753,2982107,11084,1278364,9669,1703743
NestMini (FR-1),43200,20269,6518955,10491,1428416,9778,5090539
NestMini (FR-1),46800,18036,2233658,10064,1265829,7972,967829
NestMini (FR-1),50400,16715,1804333,9076,1018407,7639,785926
NestMini (FR-1),54000,18409,2128235,9976,1154326,8433,973909
NestMini (FR-1),57600,21325,2500232,11503,1349627,9822,1150605
NestMini (FR-1),61200,20046,2309350,10685,1184700,9361,1124650
NestMini (FR-1),64800,17259,2752303,9172,1072192,8087,1680111
NestMini (FR-1),68400,18311,2395863,9605,1198125,8706,1197738
NestMini (FR-1),72000,17548,2250964,9061,1083510,8487,1167454
NestMini (FR-1),75600,15953,2941833,8444,998451,7509,1943382
NestMini (FR-1),79200,17567,2225472,9342,1159954,8225,1065518
NestMini (FR-1),82800,18087,2338657,9546,1398940,8541,939717
NestMini (FR-1),86400,17035,2162332,8896,1323562,8139,838770
NestMini (FR-1),90000,17465,2249978,9382,1418340,8083,831638
NestMini (FR-1),93600,17326,2672172,9200,1347099,8126,1325073
NestMini (FR-1),97200,16660,2079361,8740,1296248,7920,783113
NestMini (FR-1),100800,17438,2290915,9410,1451798,8028,839117
NestMini (FR-1),104400,17054,2158035,9130,1369234,7924,788801
NestMini (FR-1),108000,16721,2100614,8718,1290355,8003,810259
NestMini (FR-1),111600,16579,2037110,8650,1268211,7929,768899
NestMini (FR-1),115200,17523,2717913,9368,1413789,8155,1304124
NestMini (FR-1),118800,16816,2119790,8844,1312053,7972,807737
NestMini (FR-1),122400,19146,6397001,10083,1384751,9063,5012250
NestMini (FR-1),126000,14318,1446392,7829,853325,6489,593067
NestMini (FR-1),129600,14137,1391587,7617,803402,6520,588185
NestMini (FR-1),133200,13902,1342268,7409,760031,6493,582237
NestMini (FR-1),136800,14591,1526537,7879,861312,6712,665225
NestMini (FR-1),140400,13980,1348014,7444,764713,6536,583301
NestMini (FR-1),144000,14472,1916588,7746,805424,6726,1111164
NestMini (FR-1),147600,14253,1402314,7684,811095,6569,591219
NestMini (FR-1),151200,14691,1533488,7978,882403,6713,651085
NestMini (FR-1),154800,15349,1648349,8732,1032102,6617,616247
NestMini (FR-1),158400,14475,1471126,7811,836641,6664,634485
NestMini (FR-1),162000,14310,1439273,7774,840656,6536,598617
