MAC,Type,Network,Transport,Session,Application
B0:C5:54:4A:30:B0,ALL,"ip","tcp,udp","tls","mdns,stun,http,https"
B0:C5:54:4A:30:B0,WAN,"ip","tcp,udp","tls","stun,http,https"
B0:C5:54:4A:30:B0,LAN,"ip","udp","","mdns"
FC:49:2D:34:98:28,ALL,"ipv6,ip","udp,tcp","tls","mdns,tplink-smarthome,ssdp,ntp,http,udp:1982,udp:56700,udp:55444,udp:50000,tcp:55443,https"
FC:49:2D:34:98:28,WAN,"ip","tcp,udp","tls","ntp,http,https"
FC:49:2D:34:98:28,LAN,"ipv6,ip","udp,tcp","tls","mdns,http,tplink-smarthome,ssdp,udp:1982,udp:56700,udp:55444,udp:50000,tcp:55443"
40:A2:DB:2C:8A:68,ALL,"ipv6,ip","udp,tcp","tls","mdns,http,tplink-smarthome,ssdp,ntp,udp:56700,udp:1982,udp:55444,udp:50000,tcp:55443,https"
40:A2:DB:2C:8A:68,WAN,"ip","tcp,udp","tls","http,ntp,https"
40:A2:DB:2C:8A:68,LAN,"ipv6,ip","udp,tcp","tls","mdns,http,tplink-smarthome,ssdp,udp:56700,udp:1982,udp:55444,udp:50000,tcp:55443"
A4:77:33:DF:C2:4D,ALL,"ipv6,ip","udp,tcp","tls","mdns,udp:10101,http,classicstun,tplink-smarthome,ntp,quic,udp:9478,udp:1111,tcp:10101,tcp:5228,https,tcp:10005,tcp:8012,tcp:9000"
A4:77:33:DF:C2:4D,WAN,"ip","tcp,udp","tls","http,ntp,quic,tcp:5228,https"
A4:77:33:DF:C2:4D,LAN,"ipv6,ip","udp,tcp","tls","mdns,udp:10101,classicstun,tplink-smarthome,udp:9478,udp:1111,tcp:10101,tcp:10005,tcp:8012,tcp:9000,http"
F4:CF:A2:0C:41:F6,ALL,"ip","tcp,udp","tls","tcp:8886,udp:6667,https"
F4:CF:A2:0C:41:F6,WAN,"ip","tcp","tls","tcp:8886,https"
F4:CF:A2:0C:41:F6,LAN,"ip","udp","","udp:6667"
64:16:66:4A:65:71,ALL,"ip","tcp,udp","tls","ntp,https"
64:16:66:4A:65:71,WAN,"ip","tcp,udp","tls","ntp,https"
64:16:66:4A:65:71,LAN,"","","",""
20:DF:B9:3B:00:90,ALL,"ipv6,ip","udp,tcp","tls","mdns,http,classicstun,quic,tplink-smarthome,ntp,udp:9478,udp:10101,udp:1111,tcp:10101,tcp:5228,https,tcp:10005,tcp:8012,tcp:9000"
20:DF:B9:3B:00:90,WAN,"ip","tcp,udp","tls","http,quic,ntp,tcp:5228,https"
20:DF:B9:3B:00:90,LAN,"ipv6,ip","udp,tcp","tls","mdns,classicstun,tplink-smarthome,udp:9478,udp:10101,udp:1111,tcp:10101,tcp:10005,tcp:8012,tcp:9000,http"
64:16:66:BE:44:9C,ALL,"ip","tcp,udp","tls","http,ntp,tcp:9543,https"
64:16:66:BE:44:9C,WAN,"ip","tcp,udp","tls","http,ntp,tcp:9543,https"
64:16:66:BE:44:9C,LAN,"","","",""
64:FF:0A:88:AF:4A,ALL,"ipv6,ip","udp,tcp","tls","mdns,http,ssdp,quic,ntp,udp:50000,tcp:5228,https,tcp:9000"
64:FF:0A:88:AF:4A,WAN,"ip","tcp,udp","tls","http,quic,ntp,tcp:5228,https"
64:FF:0A:88:AF:4A,LAN,"ipv6,ip","udp,tcp","tls","mdns,http,ssdp,udp:50000,tcp:9000"
1C:3B:F3:8D:29:4A,ALL,"ip","udp,tcp","tls","tplink-smarthome,ntp,udp:1111,https"
1C:3B:F3:8D:29:4A,WAN,"ip","udp,tcp","tls","ntp,https"
1C:3B:F3:8D:29:4A,LAN,"ip","udp,tcp","","tplink-smarthome,udp:1111"
50:C7:BF:5E:A8:48,ALL,"ip","tcp,udp","tls","tplink-smarthome,ntp,udp:1111,https,tcp:50443"
50:C7:BF:5E:A8:48,WAN,"ip","tcp,udp","tls","ntp,https,tcp:50443"
50:C7:BF:5E:A8:48,LAN,"ip","udp,tcp","","tplink-smarthome,udp:1111"
F4:CF:A2:0C:40:1C,ALL,"ip","udp,tcp","tls","udp:6667,tcp:8886,https"
F4:CF:A2:0C:40:1C,WAN,"ip","tcp","tls","tcp:8886,https"
F4:CF:A2:0C:40:1C,LAN,"ip","udp","","udp:6667"
EC:B5:FA:80:80:F4,ALL,"ipv6,ip","udp,tcp","tls","mdns,ssdp,ntp,http,udp:1111,https"
EC:B5:FA:80:80:F4,WAN,"ip","udp,tcp","tls","ntp,http,https"
EC:B5:FA:80:80:F4,LAN,"ipv6,ip","udp,tcp","","mdns,ssdp,http,udp:1111"
1C:3B:F3:8D:26:DA,ALL,"ip","udp,tcp","tls","tplink-smarthome,ntp,udp:1111,https"
1C:3B:F3:8D:26:DA,WAN,"ip","udp,tcp","tls","ntp,https"
1C:3B:F3:8D:26:DA,LAN,"ip","udp,tcp","","tplink-smarthome,udp:1111"
