Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
PhillipsBridge (US1-1),0,707,57498,361,28636,346,28862
PhillipsBridge (US1-1),3600,653,47633,332,24560,321,23073
PhillipsBridge (US1-1),7200,770,104636,396,67795,374,36841
PhillipsBridge (US1-1),10800,655,51535,334,25463,321,26072
PhillipsBridge (US1-1),14400,706,65994,361,34963,345,31031
PhillipsBridge (US1-1),18000,600,42827,303,21950,297,20877
PhillipsBridge (US1-1),21600,607,43493,308,22400,299,21093
PhillipsBridge (US1-1),25200,642,50474,328,24996,314,25478
PhillipsBridge (US1-1),28800,597,42593,302,21860,295,20733
PhillipsBridge (US1-1),32400,608,43583,309,22490,299,21093
PhillipsBridge (US1-1),36000,593,42239,299,21620,294,20619
PhillipsBridge (US1-1),39600,625,48901,318,24053,307,24848
PhillipsBridge (US1-1),43200,594,42287,300,21680,294,20607
PhillipsBridge (US1-1),46800,593,42305,301,21770,292,20535
PhillipsBridge (US1-1),50400,598,42617,303,21920,295,20697
PhillipsBridge (US1-1),54000,623,48872,318,24132,305,24740
PhillipsBridge (US1-1),57600,598,42683,304,22040,294,20643
PhillipsBridge (US1-1),61200,600,42985,303,22101,297,20884
PhillipsBridge (US1-1),64800,923,102422,476,53982,447,48440
PhillipsBridge (US1-1),68400,628,49109,320,24207,308,24902
PhillipsBridge (US1-1),72000,595,42417,301,21774,294,20643
PhillipsBridge (US1-1),75600,602,43754,304,22098,298,21656
PhillipsBridge (US1-1),79200,594,42291,300,21684,294,20607
PhillipsBridge (US1-1),82800,743,76134,382,36386,361,39748
PhillipsBridge (US1-1),86400,631,49738,322,24746,309,24992
PhillipsBridge (US1-1),90000,592,42111,299,21594,293,20517
PhillipsBridge (US1-1),93600,751,97322,386,61535,365,35787
PhillipsBridge (US1-1),97200,631,49445,322,24417,309,25028
PhillipsBridge (US1-1),100800,677,62729,347,32964,330,29765
PhillipsBridge (US1-1),104400,591,42057,299,21594,292,20463
PhillipsBridge (US1-1),108000,598,42651,303,21954,295,20697
PhillipsBridge (US1-1),111600,625,49044,319,24250,306,24794
PhillipsBridge (US1-1),115200,592,42147,300,21684,292,20463
PhillipsBridge (US1-1),118800,690,64357,354,29689,336,34668
PhillipsBridge (US1-1),122400,698,64836,357,29899,341,34937
PhillipsBridge (US1-1),126000,628,49145,320,24207,308,24938
PhillipsBridge (US1-1),129600,593,42237,300,21684,293,20553
PhillipsBridge (US1-1),133200,591,42021,299,21594,292,20427
PhillipsBridge (US1-1),136800,597,42561,302,21864,295,20697
PhillipsBridge (US1-1),140400,633,49560,322,24460,311,25100
