IP,Hostname,IP Geolocation,Cert Geolocations,Packets,Bytes,TxPackets,TxBytes,RxPackets,RxBytes
192.168.1.116,None,None,None,8581,1070405,5644,644191,2937,426214
52.73.126.138,ec2-52-73-126-138.compute-1.amazonaws.com.,United States,None,7735,826666,2601,322043,5134,504623
192.168.1.1,None,None,None,336,101651,168,89051,168,12600
192.168.1.109,None,None,None,173,111758,0,0,173,111758
"162.159.200.123,162.159.200.1",uk.pool.ntp.org,None,None,38,3420,19,1710,19,1710
"178.62.68.79,95.215.175.2,195.171.43.10,131.111.8.60,93.93.131.118,139.162.219.252,109.74.206.120,176.58.109.199,131.111.8.63,82.219.4.30,81.128.218.110,83.151.207.133,85.199.214.99,51.89.151.183,90.155.73.34,85.199.214.100,185.57.191.229,188.114.116.1,80.87.128.222,193.150.34.2,139.143.5.31,134.0.16.1,139.143.5.30,178.62.18.76,195.171.43.12,185.103.119.60,178.79.188.22,85.199.214.101,103.214.44.30,85.199.214.98,131.111.8.61,176.58.127.165,217.114.59.66,132.226.210.133,141.147.71.134,83.98.51.237,217.114.59.3,178.79.155.116,46.17.88.213,129.215.160.240,88.80.189.24,212.71.244.243,77.68.29.174,46.17.88.211,213.5.132.231,185.177.149.33,130.159.196.118,13.41.102.135,86.3.232.217",uk.pool.ntp.org,United Kingdom,None,275,24750,137,12330,138,12420
"129.250.35.251,129.250.35.250",uk.pool.ntp.org,United States,None,14,1260,7,630,7,630
178.215.228.24,uk.pool.ntp.org,Germany,None,6,540,3,270,3,270
178.62.250.107,uk.pool.ntp.org,The Netherlands,None,4,360,2,180,2,180
