StartTime,Frames,Bytes
0,28,2856
1800,25,2610
3600,23,2406
5400,27,4482
7200,26,2724
9000,21,2226
10800,26,2724
12600,27,4482
14400,23,2406
16200,24,2544
18000,26,2724
19800,24,4172
21600,26,2740
23400,21,2240
25200,26,2740
27000,24,2560
28800,26,4358
30600,24,2560
32400,26,2740
34200,21,2240
36000,29,4678
37800,24,2560
39600,23,2420
41400,24,2560
43200,26,4358
45000,24,2560
46800,26,2740
48600,21,2240
50400,29,4678
52200,24,2560
54000,24,2510
55800,27,4498
57600,26,2740
59400,21,2240
61200,26,2740
63000,27,4498
64800,23,2420
66600,24,2560
68400,23,2420
70200,30,4696
72000,26,2740
73800,23,2372
75600,26,2740
77400,27,4498
79200,23,2420
81000,24,2560
82800,26,2740
84600,24,4178
86400,26,2740
88200,24,2560
90000,23,2420
91800,27,4498
93600,23,2420
95400,24,2560
97200,26,2740
99000,24,4178
100800,26,2740
102600,24,2560
104400,23,2420
106200,27,4498
108000,26,2740
109800,21,2240
111600,26,2740
113400,25,4244
115200,27,2806
117000,24,2560
118800,23,2420
120600,27,4498
122400,26,2740
124200,21,2240
126000,26,2740
127800,27,4498
129600,23,2420
131400,24,2560
133200,26,2740
135000,24,4178
136800,26,2740
138600,21,2240
140400,26,2740
142200,27,4498
144000,23,2420
145800,24,2560
147600,26,2740
149400,24,4178
151200,26,2740
153000,24,2560
154800,25,2552
156600,27,4498
158400,23,2420
160200,24,2560
162000,26,2740
163800,24,4178
165600,26,2740
167400,24,2560
169200,23,2420
171000,24,2560
172800,29,4678
174600,21,2240
176400,29,4678
178200,24,2560
180000,23,2420
181800,24,2560
183600,23,2420
185400,24,2560
187200,26,2740
189000,21,2240
190800,26,2740
192600,24,2560
194400,23,2420
196200,24,2560
198000,29,4678
199800,21,2240
201600,26,2740
203400,21,2240
205200,29,4678
207000,24,2560
208800,23,2420
210600,24,2560
212400,26,2740
214200,24,4178
216000,26,2740
217800,24,2560
219600,23,2420
221400,24,2560
223200,26,2740
225000,21,2240
226800,26,2740
228600,21,2240
230400,26,2740
232200,26,3864
234000,23,2434
235800,24,2576
237600,26,2756
239400,24,4192
241200,26,2756
243000,21,2254
244800,26,2756
246600,24,2576
248400,23,2434
250200,27,4514
252000,26,2756
253800,21,2254
255600,26,2756
257400,24,2576
259200,23,2434
261000,24,2576
262800,26,2756
264600,21,2254
266400,29,4694
268200,21,2254
270000,26,2756
271800,24,2576
273600,26,4372
275400,24,2576
277200,26,2756
279000,21,2254
280800,26,2756
282600,24,2576
284400,23,2434
286200,24,2576
288000,26,2756
289800,24,4192
291600,26,2756
293400,21,2254
295200,26,2756
297000,24,2576
298800,23,2434
300600,24,2576
302400,29,4694
304200,21,2254
306000,26,2756
307800,24,2576
309600,26,4372
311400,24,2576
313200,23,2434
315000,24,2576
316800,26,2756
318600,21,2254
320400,26,2756
322200,24,2576
324000,23,2434
325800,24,2576
327600,29,4694
329400,21,2254
331200,26,2756
333000,21,2254
334800,26,2756
336600,24,2576
338400,23,2434
340200,24,2576
342000,28,2888
343800,21,2254
345600,26,2756
347400,24,2576
349200,26,4372
351000,24,2576
352800,28,2888
354600,23,2386
356400,29,4694
358200,23,2386
360000,26,2756
361800,24,2576
363600,24,2500
365400,28,4580
367200,26,2756
369000,21,2254
370800,26,2756
372600,24,2576
374400,23,2434
376200,24,2576
378000,23,2434
379800,24,2576
381600,26,2756
383400,21,2254
385200,31,4826
387000,24,2576
388800,23,2434
390600,27,4514
392400,26,2756
394200,21,2254
396000,26,2756
397800,24,2576
399600,25,2566
401400,24,2576
403200,23,2434
405000,27,4514
406800,26,2756
408600,21,2254
410400,26,2756
412200,24,2576
414000,23,2434
415800,24,2576
417600,26,2756
419400,21,2254
421200,26,2756
423000,21,2254
424800,29,4694
426600,24,2576
428400,23,2434
430200,24,2576
432000,26,2756
433800,21,2254
435600,26,2756
437400,24,2576
439200,26,4372
441000,24,2576
442800,23,2434
444600,24,2576
446400,29,4694
448200,21,2254
450000,24,2576
451800,26,2756
453600,22,2320
455400,26,2756
457200,24,2576
459000,26,4372
460800,24,2576
462600,26,2756
464400,23,2386
466200,26,2756
468000,21,2254
469800,27,2822
471600,26,2708
473400,26,4372
475200,24,2576
477000,26,2756
478800,21,2254
480600,29,4694
482400,24,2576
484200,23,2434
486000,24,2576
487800,23,2434
489600,24,2576
491400,26,2756
493200,21,2254
495000,26,2756
496800,24,2576
498600,26,4372
500400,24,2576
502200,26,2756
504000,21,2254
505800,26,2756
507600,28,4580
509400,24,2500
511200,24,2576
513000,23,2434
514800,24,2576
516600,29,4694
518400,21,2254
520200,26,2756
522000,24,2576
523800,23,2434
525600,24,2576
527400,26,2756
529200,21,2254
531000,26,2756
532800,24,2576
534600,26,4372
536400,24,2576
538200,26,2756
540000,21,2254
541800,26,2756
543600,24,4192
545400,26,2756
547200,24,2576
549000,23,2434
550800,24,2576
552600,29,4694
554400,21,2254
556200,26,2756
558000,24,2576
559800,23,2434
561600,24,2576
563400,23,2434
565200,24,2576
567000,26,2756
568800,21,2254
570600,29,4694
572400,24,2576
574200,23,2434
576000,24,2576
577800,29,4694
579600,21,2254
581400,26,2756
583200,24,2576
585000,23,2434
586800,24,2576
588600,23,2434
590400,24,2576
592200,26,2756
594000,24,4192
595800,26,2756
597600,24,2576
599400,23,2434
601200,24,2576
603000,23,2434
