Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
TPLinkLight (FR),0,178,74300,129,69752,49,4548,74,64396,60,63780,14,616,104,9904,69,5972,35,3932
TPLinkLight (FR),1800,175,76072,129,71705,46,4367,72,66346,62,65906,10,440,103,9726,67,5799,36,3927
TPLinkLight (FR),3600,174,73970,127,69579,47,4391,73,64352,60,63780,13,572,101,9618,67,5799,34,3819
TPLinkLight (FR),5400,174,72951,126,68516,48,4435,73,63333,59,62717,14,616,101,9618,67,5799,34,3819
TPLinkLight (FR),7200,183,75559,130,70815,53,4744,77,65547,61,64843,16,704,106,10012,69,5972,37,4040
TPLinkLight (FR),9000,171,72819,126,68516,45,4303,70,63201,59,62717,11,484,101,9618,67,5799,34,3819
TPLinkLight (FR),10800,172,71844,125,67453,47,4391,71,62226,58,61654,13,572,101,9618,67,5799,34,3819
TPLinkLight (FR),12600,175,73015,126,68516,49,4499,72,63289,59,62717,13,572,103,9726,67,5799,36,3927
TPLinkLight (FR),14400,179,76382,131,71878,48,4504,75,66478,62,65906,13,572,104,9904,69,5972,35,3932
TPLinkLight (FR),16200,171,73838,127,69579,44,4259,70,64220,60,63780,10,440,101,9618,67,5799,34,3819
TPLinkLight (FR),18000,174,73970,127,69579,47,4391,73,64352,60,63780,13,572,101,9618,67,5799,34,3819
TPLinkLight (FR),19800,174,73990,127,69579,47,4411,71,64264,60,63780,11,484,103,9726,67,5799,36,3927
TPLinkLight (FR),21600,176,73193,128,68689,48,4504,72,63289,59,62717,13,572,104,9904,69,5972,35,3932
TPLinkLight (FR),23400,174,72971,126,68516,48,4455,71,63245,59,62717,12,528,103,9726,67,5799,36,3927
TPLinkLight (FR),25200,173,74945,128,70642,45,4303,72,65327,61,64843,11,484,101,9618,67,5799,34,3819
TPLinkLight (FR),27000,177,73103,126,68516,51,4587,74,63377,59,62717,15,660,103,9726,67,5799,36,3927
TPLinkLight (FR),28800,182,75515,130,70815,52,4700,76,65503,61,64843,15,660,106,10012,69,5972,37,4040
TPLinkLight (FR),30600,182,74342,127,69579,55,4763,79,64616,60,63780,19,836,103,9726,67,5799,36,3927
TPLinkLight (FR),32400,178,74146,127,69579,51,4567,77,64528,60,63780,17,748,101,9618,67,5799,34,3819
TPLinkLight (FR),34200,177,77159,130,72768,47,4391,76,67541,63,66969,13,572,101,9618,67,5799,34,3819
TPLinkLight (FR),36000,176,73193,128,68689,48,4504,72,63289,59,62717,13,572,104,9904,69,5972,35,3932
TPLinkLight (FR),37800,177,74102,127,69579,50,4523,76,64484,60,63780,16,704,101,9618,67,5799,34,3819
TPLinkLight (FR),39600,175,71996,125,67453,50,4543,72,62270,58,61654,14,616,103,9726,67,5799,36,3927
TPLinkLight (FR),41400,177,71065,124,66390,53,4675,74,61339,57,60591,17,748,103,9726,67,5799,36,3927
TPLinkLight (FR),43200,183,75559,130,70815,53,4744,77,65547,61,64843,16,704,106,10012,69,5972,37,4040
TPLinkLight (FR),45000,181,72260,125,67453,56,4807,78,62534,58,61654,20,880,103,9726,67,5799,36,3927
TPLinkLight (FR),46800,181,76316,129,71705,52,4611,80,66698,62,65906,18,792,101,9618,67,5799,34,3819
TPLinkLight (FR),48600,179,72192,125,67453,54,4739,74,62358,58,61654,16,704,105,9834,67,5799,38,4035
TPLinkLight (FR),50400,186,74672,129,69752,57,4920,80,64660,60,63780,20,880,106,10012,69,5972,37,4040
TPLinkLight (FR),52200,183,74386,127,69579,56,4807,80,64660,60,63780,20,880,103,9726,67,5799,36,3927
TPLinkLight (FR),54000,175,71976,125,67453,50,4523,74,62358,58,61654,16,704,101,9618,67,5799,34,3819
TPLinkLight (FR),55800,178,76184,129,71705,49,4479,77,66566,62,65906,15,660,101,9618,67,5799,34,3819
TPLinkLight (FR),57600,176,75251,130,70815,46,4436,70,65239,61,64843,9,396,106,10012,69,5972,37,4040
TPLinkLight (FR),59400,176,74058,127,69579,49,4479,75,64440,60,63780,15,660,101,9618,67,5799,34,3819
TPLinkLight (FR),61200,178,73147,126,68516,52,4631,75,63421,59,62717,16,704,103,9726,67,5799,36,3927
TPLinkLight (FR),63000,176,74058,127,69579,49,4479,75,64440,60,63780,15,660,101,9618,67,5799,34,3819
TPLinkLight (FR),64800,181,74432,129,69752,52,4680,77,64528,60,63780,17,748,104,9904,69,5972,35,3932
TPLinkLight (FR),66600,183,73367,126,68516,57,4851,80,63641,59,62717,21,924,103,9726,67,5799,36,3927
TPLinkLight (FR),68400,177,72064,125,67453,52,4611,76,62446,58,61654,18,792,101,9618,67,5799,34,3819
TPLinkLight (FR),70200,180,74234,127,69579,53,4655,79,64616,60,63780,19,836,101,9618,67,5799,34,3819
TPLinkLight (FR),72000,179,74344,129,69752,50,4592,75,64440,60,63780,15,660,104,9904,69,5972,35,3932
TPLinkLight (FR),73800,177,74102,127,69579,50,4523,76,64484,60,63780,16,704,101,9618,67,5799,34,3819
TPLinkLight (FR),75600,177,77067,129,72678,48,4389,78,67629,63,66969,15,660,99,9438,66,5709,33,3729
TPLinkLight (FR),77400,178,77203,130,72768,48,4435,77,67585,63,66969,14,616,101,9618,67,5799,34,3819
TPLinkLight (FR),79200,180,74408,129,69752,51,4656,74,64396,60,63780,14,616,106,10012,69,5972,37,4040
TPLinkLight (FR),81000,174,72951,126,68516,48,4435,73,63333,59,62717,14,616,101,9618,67,5799,34,3819
TPLinkLight (FR),82800,184,74430,127,69579,57,4851,81,64704,60,63780,21,924,103,9726,67,5799,36,3927
TPLinkLight (FR),84600,190,77731,130,72768,60,4963,89,68113,63,66969,26,1144,101,9618,67,5799,34,3819
