Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
EchoShow5 (FR),0,9586,1440714,4942,584971,4644,855743,8376,685224,4326,408073,4050,277151,1210,755490,616,176898,594,578592
EchoShow5 (FR),1800,10320,2158978,5368,853771,4952,1305207,8385,683797,4335,404823,4050,278974,1935,1475181,1033,448948,902,1026233
EchoShow5 (FR),3600,9149,903392,4687,517738,4462,385654,8403,692649,4335,409469,4068,283180,746,210743,352,108269,394,102474
EchoShow5 (FR),5400,10512,2569004,5438,802741,5074,1766263,8393,700190,4313,406531,4080,293659,2119,1868814,1125,396210,994,1472604
EchoShow5 (FR),7200,9080,975256,4664,509384,4416,465872,8357,680043,4318,405270,4039,274773,723,295213,346,104114,377,191099
EchoShow5 (FR),9000,9284,999767,4765,604133,4519,395634,8320,680296,4283,406103,4037,274193,964,319471,482,198030,482,121441
EchoShow5 (FR),10800,8849,804023,4536,467541,4313,336482,8267,669877,4265,402295,4002,267582,582,134146,271,65246,311,68900
EchoShow5 (FR),12600,10409,2414515,5442,710962,4967,1703553,8442,709701,4344,408668,4098,301033,1967,1704814,1098,302294,869,1402520
EchoShow5 (FR),14400,9014,976886,4609,508349,4405,468537,8288,677929,4263,404641,4025,273288,726,298957,346,103708,380,195249
EchoShow5 (FR),16200,9277,1160460,4768,611155,4509,549305,8294,680003,4279,406617,4015,273386,983,480457,489,204538,494,275919
EchoShow5 (FR),18000,9037,902938,4632,528451,4405,374487,8252,671873,4253,401558,3999,270315,785,231065,379,126893,406,104172
EchoShow5 (FR),19800,10572,2573292,5551,741948,5021,1831344,8371,697228,4307,406039,4064,291189,2201,1876064,1244,335909,957,1540155
EchoShow5 (FR),21600,8933,954282,4564,499485,4369,454797,8251,671380,4240,399946,4011,271434,682,282902,324,99539,358,183363
EchoShow5 (FR),23400,9401,1193574,4821,624309,4580,569265,8310,678473,4268,404375,4042,274098,1091,515101,553,219934,538,295167
EchoShow5 (FR),25200,8777,783913,4485,474874,4292,309039,8264,668654,4247,400005,4017,268649,513,115259,238,74869,275,40390
EchoShow5 (FR),27000,11445,3278477,6073,1880515,5372,1397962,8413,706109,4316,409182,4097,296927,3032,2572368,1757,1471333,1275,1101035
EchoShow5 (FR),28800,9018,984298,4600,504642,4418,479656,8311,677884,4263,400616,4048,277268,707,306414,337,104026,370,202388
EchoShow5 (FR),30600,9376,1099746,4822,635758,4554,463988,8313,676515,4281,402512,4032,274003,1063,423231,541,233246,522,189985
EchoShow5 (FR),32400,9147,1004411,4694,515626,4453,488785,8359,683896,4309,405577,4050,278319,788,320515,385,110049,403,210466
EchoShow5 (FR),34200,10185,2137688,5278,721776,4907,1415912,8495,717094,4381,414114,4114,302980,1690,1420594,897,307662,793,1112932
EchoShow5 (FR),36000,8991,971932,4611,505636,4380,466296,8255,669167,4261,402139,3994,267028,736,302765,350,103497,386,199268
EchoShow5 (FR),37800,9490,1236962,4863,659022,4627,577940,8340,680949,4290,406281,4050,274668,1150,556013,573,252741,577,303272
EchoShow5 (FR),39600,9021,874172,4629,524330,4392,349842,8337,680551,4294,403649,4043,276902,684,193621,335,120681,349,72940
EchoShow5 (FR),41400,10291,2230660,5344,720461,4947,1510199,8359,695767,4302,405356,4057,290411,1932,1534893,1042,315105,890,1219788
EchoShow5 (FR),43200,9101,1017271,4651,544133,4450,473138,8332,681434,4287,406869,4045,274565,769,335837,364,137264,405,198573
EchoShow5 (FR),45000,9395,1093360,4833,613888,4562,479472,8339,679219,4288,402798,4051,276421,1056,414141,545,211090,511,203051
EchoShow5 (FR),46800,9038,955527,4646,491408,4392,464119,8359,680364,4322,405713,4037,274651,679,275163,324,85695,355,189468
EchoShow5 (FR),48600,10298,2319181,5372,745296,4926,1573885,8478,713012,4385,415984,4093,297028,1820,1606169,987,329312,833,1276857
EchoShow5 (FR),50400,9066,865420,4647,509314,4419,356106,8434,697076,4347,410120,4087,286956,632,168344,300,99194,332,69150
EchoShow5 (FR),52200,9244,1024525,4741,591924,4503,432601,8269,663376,4245,396498,4024,266878,975,361149,496,195426,479,165723
EchoShow5 (FR),54000,8967,843901,4591,497737,4376,346164,8351,682461,4294,406979,4057,275482,616,161440,297,90758,319,70682
EchoShow5 (FR),55800,11537,3458250,6163,1784577,5374,1673673,8455,709818,4350,412190,4105,297628,3082,2748432,1813,1372387,1269,1376045
EchoShow5 (FR),57600,9651,2564128,4861,556338,4790,2007790,8344,673294,4309,402208,4035,271086,1307,1890834,552,154130,755,1736704
EchoShow5 (FR),59400,9910,2486298,5065,664721,4845,1821577,8338,683945,4286,405725,4052,278220,1572,1802353,779,258996,793,1543357
EchoShow5 (FR),61200,8978,842256,4591,492287,4387,349969,8338,680694,4290,403160,4048,277534,640,161562,301,89127,339,72435
EchoShow5 (FR),63000,12067,5155444,6622,826435,5445,4329009,8405,702536,4316,406003,4089,296533,3662,4452908,2306,420432,1356,4032476
EchoShow5 (FR),64800,9218,1173229,4734,525277,4484,647952,8300,677695,4260,403697,4040,273998,918,495534,474,121580,444,373954
EchoShow5 (FR),66600,9198,986022,4706,609426,4492,376596,8317,679210,4273,404076,4044,275134,881,306812,433,205350,448,101462
EchoShow5 (FR),68400,8995,914402,4605,516489,4390,397913,8248,663178,4236,396876,4012,266302,747,251224,369,119613,378,131611
EchoShow5 (FR),70200,11122,4264322,5885,716945,5237,3547377,8397,705793,4307,408586,4090,297207,2725,3558529,1578,308359,1147,3250170
